PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesContract (0.2s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/save_team_whiteboard_tpl/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun/whiteboard/shortcut_update/0 (0.02s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentExamplesDryRun (4.29s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestAgentSelectionScenariosCoverEveryExecutableSchemaTool (0.06s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app TestCrossPlatformCoverageDeapAgentLeavesReachFinalSchema (0.03s)
PASS github.com/DingTalk-Real-AI/dingtalk-workspace-cli/internal/app [package] (5.103s)
schema_agent_examples_dry_run_test.go:58: Agent example contract: total=1799 contract=1590 dry_run=196 contract_only=13
schema_agent_examples_dry_run_test.go:139: Agent examples: total=1799 contract=1590 dry_run_selected=196 planned_dry_run=196 contract_only=13 reviewed_manual=13
schema_agent_examples_dry_run_test.go:146: Agent examples contract_only[local_state]=3
schema_agent_examples_dry_run_test.go:146: Agent examples contract_only[stateful_preflight]=10
